event_id,user_id,event_type,occurred_at
1,1,click,2024-10-01 00:00:00
2,2,page_view,2024-10-01 00:00:00
3,3,click,2024-10-01 00:00:00
4,4,page_view,2024-10-01 00:00:00
5,5,click,2024-10-01 00:00:00
6,6,page_view,2024-10-01 00:00:00
7,7,click,2024-10-01 00:00:00
8,8,page_view,2024-10-01 00:00:00
9,9,click,2024-10-01 00:00:00
10,10,page_view,2024-10-01 00:00:00
11,11,click,2024-10-01 00:00:00
12,12,page_view,2024-10-01 00:00:00
13,13,click,2024-10-01 00:00:00
14,14,page_view,2024-10-01 00:00:00
15,15,click,2024-10-01 00:00:00
16,16,page_view,2024-10-01 00:00:00
17,17,click,2024-10-01 00:00:00
18,18,page_view,2024-10-01 00:00:00
19,19,click,2024-10-01 00:00:00
20,20,page_view,2024-10-01 00:00:00
21,21,click,2024-10-01 00:00:00
22,22,page_view,2024-10-01 00:00:00
23,23,click,2024-10-01 00:00:00
24,24,page_view,2024-10-01 00:00:00
25,25,click,2024-10-01 00:00:00
26,26,page_view,2024-10-01 00:00:00
27,27,click,2024-10-01 00:00:00
28,28,page_view,2024-10-01 00:00:00
29,29,click,2024-10-01 00:00:00
30,30,page_view,2024-10-01 00:00:00
31,31,click,2024-10-01 00:00:00
32,32,page_view,2024-10-01 00:00:00
33,33,click,2024-10-01 00:00:00
34,34,page_view,2024-10-01 00:00:00
35,35,click,2024-10-01 00:00:00
36,36,page_view,2024-10-01 00:00:00
37,37,click,2024-10-01 00:00:00
38,38,page_view,2024-10-01 00:00:00
39,39,click,2024-10-01 00:00:00
40,40,page_view,2024-10-01 00:00:00
41,41,click,2024-10-01 00:00:00
42,42,page_view,2024-10-01 00:00:00
43,43,click,2024-10-01 00:00:00
44,44,page_view,2024-10-01 00:00:00
45,45,click,2024-10-01 00:00:00
46,46,page_view,2024-10-01 00:00:00
47,47,click,2024-10-01 00:00:00
48,48,page_view,2024-10-01 00:00:00
49,49,click,2024-10-01 00:00:00
50,50,page_view,2024-10-01 00:00:00
51,51,click,2024-10-01 00:00:00
52,52,page_view,2024-10-01 00:00:00
53,53,click,2024-10-01 00:00:00
54,54,page_view,2024-10-01 00:00:00
55,55,click,2024-10-01 00:00:00
56,56,page_view,2024-10-01 00:00:00
57,57,click,2024-10-01 00:00:00
58,58,page_view,2024-10-01 00:00:00
59,59,click,2024-10-01 00:00:00
60,60,page_view,2024-10-01 00:00:00
61,61,click,2024-10-01 00:00:00
62,62,page_view,2024-10-01 00:00:00
63,63,click,2024-10-01 00:00:00
64,64,page_view,2024-10-01 00:00:00
65,65,click,2024-10-01 00:00:00
66,66,page_view,2024-10-01 00:00:00
67,67,click,2024-10-01 00:00:00
68,68,page_view,2024-10-01 00:00:00
69,69,click,2024-10-01 00:00:00
70,70,page_view,2024-10-01 00:00:00
71,71,click,2024-10-01 00:00:00
72,72,page_view,2024-10-01 00:00:00
73,73,click,2024-10-01 00:00:00
74,74,page_view,2024-10-01 00:00:00
75,75,click,2024-10-01 00:00:00
76,76,page_view,2024-10-01 00:00:00
77,77,click,2024-10-01 00:00:00
78,78,page_view,2024-10-01 00:00:00
79,79,click,2024-10-01 00:00:00
80,80,page_view,2024-10-01 00:00:00
81,81,click,2024-10-01 00:00:00
82,82,page_view,2024-10-01 00:00:00
83,83,click,2024-10-01 00:00:00
84,84,page_view,2024-10-01 00:00:00
85,85,click,2024-10-01 00:00:00
86,86,page_view,2024-10-01 00:00:00
87,87,click,2024-10-01 00:00:00
88,88,page_view,2024-10-01 00:00:00
89,89,click,2024-10-01 00:00:00
90,90,page_view,2024-10-01 00:00:00
91,91,click,2024-10-01 00:00:00
92,92,page_view,2024-10-01 00:00:00
93,93,click,2024-10-01 00:00:00
94,94,page_view,2024-10-01 00:00:00
95,95,click,2024-10-01 00:00:00
96,96,page_view,2024-10-01 00:00:00
97,97,click,2024-10-01 00:00:00
98,98,page_view,2024-10-01 00:00:00
99,99,click,2024-10-01 00:00:00
100,100,page_view,2024-10-01 00:00:00
101,101,click,2024-10-01 00:00:00
102,102,page_view,2024-10-01 00:00:00
103,103,click,2024-10-01 00:00:00
104,104,page_view,2024-10-01 00:00:00
105,105,click,2024-10-01 00:00:00
106,106,page_view,2024-10-01 00:00:00
107,107,click,2024-10-01 00:00:00
108,108,page_view,2024-10-01 00:00:00
109,109,click,2024-10-01 00:00:00
110,110,page_view,2024-10-01 00:00:00
111,111,click,2024-10-01 00:00:00
112,112,page_view,2024-10-01 00:00:00
113,113,click,2024-10-01 00:00:00
114,114,page_view,2024-10-01 00:00:00
115,115,click,2024-10-01 00:00:00
116,116,page_view,2024-10-01 00:00:00
117,117,click,2024-10-01 00:00:00
118,118,page_view,2024-10-01 00:00:00
119,119,click,2024-10-01 00:00:00
120,120,page_view,2024-10-01 00:00:00
121,121,click,2024-10-01 00:00:00
122,122,page_view,2024-10-01 00:00:00
123,123,click,2024-10-01 00:00:00
124,124,page_view,2024-10-01 00:00:00
125,125,click,2024-10-01 00:00:00
126,126,page_view,2024-10-01 00:00:00
127,127,click,2024-10-01 00:00:00
128,128,page_view,2024-10-01 00:00:00
129,129,click,2024-10-01 00:00:00
130,130,page_view,2024-10-01 00:00:00
131,131,click,2024-10-01 00:00:00
132,132,page_view,2024-10-01 00:00:00
